transaction_id,date,customer_id,product_id,quantity,discount_applied
fefac198-c3d6-4d54-8623-bc7465a29cc8,2024-09-23 15:41:48.000000,5897,521,3.0,0.29
27c00f89-9e3b-41b3-8330-125c1a9b0d42,2024-09-24 11:27:28.000000,8851,638,7.0,0.18
63ccf604-e2ae-4f87-ae7c-a782a7a31d25,2025-03-18 06:52:08.000000,1699,638,2.0,0.19
48bfb602-bcd2-48eb-bf55-60cd3ab7127e,2025-06-30 04:53:27.000000,4995,521,3.0,0.02
86d895e5-219b-406d-a05c-8491a06109db,2026-05-03 06:53:10.000000,7532,611,4.0,0.14
a9de5b26-08ff-4ab0-8750-72d62bacf712,2025-04-24 03:47:05.000000,1686,205,7.0,0.08
dd3ee854-5340-44b0-aa4f-4a80dc412176,2025-07-25 19:56:58.000000,9536,198,5.0,0.25
8a63b93c-def3-406a-b998-63f27799fddb,2026-07-17 02:47:24.000000,2295,638,9.0,0.02
2296e3f1-71e1-4b9f-8c6d-768e45bcf3ba,2026-01-13 20:24:53.000000,9536,598,4.0,0.2
98fb4727-9740-4212-ad52-45f48a0ec018,2025-07-10 14:22:05.000000,6113,373,1.0,0.23
e096521e-a2c7-43d4-bfb8-abb9a18c5492,2025-10-02 01:12:53.000000,2444,933,4.0,0.25
a3b81f92-a3c9-4c6a-8601-76336f5aad52,2025-09-08 14:14:21.000000,2956,369,4.0,0.04
7b4d8646-58e0-458f-a8af-301f4f45f6f7,2025-09-13 03:55:29.000000,7868,694,10.0,0.28
711dc1dd-16ed-4330-8e01-54133a2516fe,2025-03-17 02:51:39.000000,7821,523,5.0,0.23
27dd1ac4-4282-46e4-a986-305a5da3f9cf,2025-03-13 18:47:28.000000,1339,685,10.0,0.29
d0bcbad5-85f8-4d9b-8006-0d5a02b3c948,2026-03-01 23:23:46.000000,4727,694,,0.29
49694032-5808-4790-a2e4-9628d913057d,2025-07-20 10:15:56.000000,4788,445,1.0,0.28
ec0dfc3a-b011-4125-8221-11e588fc3da1,2025-08-07 02:03:09.000000,3281,865,7.0,0.12
4cb34663-7a21-4151-8166-a8b3f26bcebf,2024-07-28 02:01:33.000000,99999,870,2.0,0.18
4afcf9e8-cc47-4b72-ae31-0234c4100108,2025-10-27 16:44:18.000000,4532,424,4.0,0.03
8c57a277-01d9-49b4-8bf8-f29e3b30ee97,2025-05-07 05:00:31.000000,8496,925,10.0,0.24
8f807d8b-e1d5-4f85-a967-858630463008,2025-06-25 12:02:06.000000,9132,248,1.0,0.1
b7062cfa-29cc-4789-bff9-3134650e78e4,2026-02-13 12:39:16.000000,1230,377,6.0,0.02
60dc12eb-d413-4850-a3c4-e76da55fa725,2025-01-08 07:55:22.000000,5276,646,1.0,0.25
a0152b5b-6c17-4150-9447-16cc4352acea,2025-01-23 01:32:16.000000,5990,765,2.0,0.13
e8f2c584-ccca-4e14-83b8-c80f84408e98,2025-11-09 06:57:38.000000,8657,424,8.0,0.21
4598f3c8-af44-4605-b1a5-0a3dcebd3b2b,2025-02-27 02:32:35.000000,6890,534,9.0,0.29
cf0e1567-882d-4fc1-be30-74f8a60147c3,2025-02-14 18:59:15.000000,5186,265,9.0,0.23
1186da93-da7d-4c53-b020-cf0669b41194,2024-12-09 16:05:53.000000,7821,366,10.0,0.08
a30b669c-1c40-4045-8a22-eae922f9cafe,2025-07-09 15:59:27.000000,6122,933,2.0,0.08
b3522c18-45aa-4503-b3e8-8db69e2383d0,2025-11-16 16:45:13.000000,7887,933,8.0,0.17
04f718c8-5215-4503-b012-f8197df37378,2024-11-16 04:03:02.000000,7868,201,6.0,0.01
05aa5eab-88f3-47ea-b83f-52740cb4afe1,2024-12-12 09:54:35.000000,4675,611,3.0,0.15
44e9f8fb-4838-4888-9a2e-9864f8eaca36,2024-10-26 02:40:53.000000,9176,923,,0.08
0219a9c7-ba23-407a-b03c-1286b71714cd,2025-01-17 19:41:03.000000,8291,523,5.0,0.17
7e5b3ac9-03c5-41fe-a693-34ef17172654,2025-01-05 16:27:40.000000,2524,870,2.0,0.07
c9254bb5-4fc3-4d4e-ab95-0c1d578799d9,2026-04-02 22:50:25.000000,9609,765,9.0,0.23
76b40672-5f13-410b-bf7a-884d7f96dd35,2026-01-13 07:35:17.000000,5825,720,8.0,0.13
14898025-548b-4ce3-881f-ec82ca9acf77,2026-05-07 04:37:28.000000,1916,571,5.0,0.07
0e588770-2566-4316-b39e-f1bec02553ea,2025-02-12 23:46:07.000000,3983,933,5.0,0.2
8b0ea0b9-1246-4474-a475-c0eec6913069,2025-07-21 03:57:11.000000,3034,720,9.0,0.16
d76f1e65-e54c-4739-b133-839e2e7d952b,2025-01-31 05:36:03.000000,1613,181,9.0,0.1
033ac4d6-d408-4391-a1af-0e8ed13757e1,2024-10-23 17:18:36.000000,1328,521,5.0,0.09
3fbbff57-b6f5-4f1c-84a5-31cdf97f4994,2025-05-15 20:56:04.000000,2501,694,4.0,0.09
3f46057b-7165-436b-b997-c779c56f05e6,2026-02-13 21:59:48.000000,6904,854,3.0,0.06
75f94230-32fd-43c5-8894-2176fe99df69,2026-02-12 03:11:31.000000,9462,720,5.0,0.22
aa7f7e06-8569-4f97-980d-c855c55ffde8,2024-12-29 21:31:05.000000,9148,789,10.0,0.08
f6121d2c-ae73-40eb-a39d-8fe7790b185c,2025-03-20 09:55:19.000000,8611,870,5.0,0.07
a110e887-289a-4251-92b4-44e8efabcd73,2026-02-06 15:06:18.000000,4681,925,1.0,0.21
